sample,age.cal.BP,Alnus,Betula,Carpinus,Corylus,Cretaegus,Fagus,Fraxinus,Pinus,Prunus spinosa,Quercus,Salix,Sorbus,Tilia,Ulmus,Hedera helix,Ilex aquifolium,Ulex,Ericaceae undiff.,Calluna,Poaceae <37um,Avena/Triticum t.,Cyperaceae,Anagallis tenella,Anthemis,Artemisia,Apiaceae,Asteraceae,Brassicaceae,Campanula type,Cardueae,Caryophyllaceae,Centaurea nigra,Chenopodiaceae,Drosera intermedia,Drosera rotundifolia,Filipendula,Galium,Gentianella campestris,Lactuceae,Lamiaceae,Lotus,Plantago lanceolata,Polygala,Potentilla,Ranunculus acris type,Rhinanthus,Rosaceae undiff.,Rumex acetosa,Rumex obtusifolia,Scrophularia type,Sedum type,Succisa pratensis,Polypodium,Pteridium,Pteropsida (monolete) undiff.,Sphagnum
100,4486,11,3,0,24,0,0,2,2,0,18,0,0,0,1,0,0,0,0,18,62,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,146,2,0,0,0,0,0,0,0,0,1,1,1
104,4668,35,6,0,143,0,0,0,1,0,54,1,0,3,3,0,0,0,1,14,13,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2
106,4749,53,2,0,118,0,0,2,1,0,70,1,0,0,5,0,0,0,0,18,15,0,73,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
108,4824,39,7,0,91,0,0,1,0,0,40,1,0,1,5,0,0,0,2,49,20,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,1
109,4859,42,9,0,104,0,0,2,1,0,51,1,0,1,2,0,0,0,0,56,14,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,4893,50,9,0,101,0,1,2,3,0,44,1,0,1,5,2,0,0,0,35,19,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0
111,4925,43,9,0,102,0,0,0,1,0,59,1,0,0,3,0,0,0,0,28,19,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0
112,4956,40,4,0,104,0,0,5,2,0,54,0,0,2,0,0,0,0,1,29,17,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,1,4,2
113,4986,33,5,0,90,0,0,2,1,0,69,1,0,0,2,0,0,0,1,35,16,0,51,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
114,5014,31,5,0,79,0,0,3,4,0,44,1,0,2,2,0,0,0,0,45,39,0,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,2,3,1
115,5042,43,9,0,94,0,0,5,4,0,76,0,0,2,2,0,0,0,0,53,29,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,3,0
116,5068,37,14,0,96,0,0,2,3,0,47,0,0,0,0,0,0,0,0,69,28,0,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1
117,5093,34,5,0,104,0,0,1,1,0,62,0,0,4,2,0,0,0,1,56,31,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,5,0,1
118,5117,33,13,0,70,0,0,0,0,0,47,1,0,0,1,1,0,0,1,48,34,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,2,2,0
