depth,age.cal.BP,Acer campestre-type,Alnus,Artemisia,Asteraceae,Asteraceae subf. Carduoideae,Asteraceae subf. Cichorioideae,Avena/Triticum-type,Betula,Brassicaceae,Calluna vulgaris,Carpinus betulus,Chenopodiaceae/Amaranthaceae,Corylus,Cyperaceae,Drosera rotundifolia-type,Elodea,Ericales (tetrad),Fagus,Filipendula,Fraxinus,Hedera,Hordeum-type,Hypericum,Ilex,Juglans,Lonicera,Malvaceae,Monolete fern spores,Phyteuma-type,Pinus,Plantago lanceolata-type,Poaceae,Polypodium,Potentilla-type,Pteridium aquilinum,Quercus,Ranunculus acris-type,Rhinanthus-type,Rosaceae,Rubiaceae,Rumex acetosa-type,Salix,Scrophularia-type,Secale cereale,Sorbus-type,Sphagnum,Succisa-type,Tilia,Trifolium-type,Typha/Sparganium,Ulmus/Zelkova,Urtica dioica
192.5,3074,0,45,0,0,0,0,0,11,0,21,0,0,141,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,1,22,12,0,9,44,0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,0
200.5,3235,0,33,0,0,0,0,0,3,0,51,0,0,141,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,7,30,3,0,8,26,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0
208.5,3364,0,29,0,0,0,0,0,6,0,26,0,0,168,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,24,12,1,25,43,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
216.5,3469,0,18,0,0,0,0,0,5,0,58,0,0,170,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,11,2,0,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224.5,3559,0,23,0,0,0,0,0,6,0,51,0,0,158,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,1,26,3,1,7,25,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
232.5,3645,0,40,0,0,0,0,0,4,0,25,0,0,141,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,5,1,3,69,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0
240.5,3736,0,33,0,0,0,0,0,10,0,25,0,0,96,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,5,0,14,38,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
248.5,3842,0,38,0,0,0,0,0,5,0,62,0,0,113,7,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,1,2,18,2,0,0,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
256.5,3970,0,25,0,0,0,0,0,5,0,53,0,0,120,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,26,1,0,11,39,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
264.5,4120,0,17,0,0,0,0,0,6,0,93,0,0,121,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,14,4,0,2,40,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
272.5,4282,0,20,0,0,0,0,0,7,0,19,0,0,191,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,3,0,0,42,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
280.5,4452,0,28,0,0,0,0,0,10,0,26,0,0,150,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,3,0,0,75,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0
288.5,4621,0,29,0,0,0,0,0,7,0,47,0,0,167,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,2,0,2,32,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
296.5,4782,0,23,0,0,0,0,0,2,0,23,0,0,165,21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,7,3,0,0,56,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0
304.5,4930,0,33,0,0,0,0,0,5,0,17,0,0,131,34,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,1,1,21,0,0,3,51,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
312.5,5061,0,31,0,0,0,0,0,2,0,22,0,0,130,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,1,0,0,58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
320.5,5177,0,35,0,1,1,0,0,11,0,13,0,0,124,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,15,2,0,1,56,3,0,1,0,0,0,0,0,0,1,0,2,0,0,2,0
328.5,5282,0,41,0,0,0,0,0,4,0,22,0,0,125,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
336.5,5376,0,35,0,0,0,0,0,5,0,67,0,0,88,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,43,2,2,10,36,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0
