depth,age.cal.BP,Alnus,Abies,Betula,Carpinus,Fagus,Fraxinus,Juglans,Pinus,Prunus type,Quercus,Sorbus t.,Tilia,Ulmus,Corylus avellana t.,Juniperus,Salix,Ilex aquifolium,Lonicera periclymenum,Ericaceae,Calluna ,Poaceae <37 um,Hordeum t.,Avena/Triticum t.,Secale cereale,Cyperaceae,Anagallis tenella,Anthemis,Apiaceae,Artemisia,Asteraceae,Centaurea nigra, Cardueae,Lactuceae,Campanula t.,Caryophyllaceae,Chenopodiaceae,Brassicaceae,Drosera,Filipendula,Galium,Helianthemum,Humulus t.,Hypericum perforatum,Lamium t.,Lotus t.,Lysimachia vulgaris,Montia fontana,Myosotis,Plantago lanceolata,Plantago major/media,Polemonium caeruleum,Potentilla t.,Rumex acetosa t.,Rumex acetosella,Rumex obtusifolius,Ranunculus acris t.,Caltha palustris,Thalictrum,Rhinanthus,Rosaceae undiff.,Scutellaria,Scrophularia t.,Sedum t.,Succisa pratensis,Stachys t.,Trifolium t.,Ulex,Urtica dioica,Valeriana dioica,Valerianella,Equisetum,Potamogeton,Hymenophyllum,Polypodium,Pteridium,Pteropsida (monolete) undiff.,Sphagnum
64,2608,17,0,1,0,0,0,0,1,0,29,1,2,0,30,0,0,0,0,0,65,297,0,1,0,32,0,0,0,0,1,11,1,5,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,6,2,0,6,2,0,0,2,0,0,0,0,1,1,0,9,0,0,0,0,0,1,0,0,0,23,16,5,0
68,2711,28,0,2,0,1,2,0,0,0,40,2,0,2,58,0,0,0,0,0,21,306,0,0,0,5,0,0,0,0,1,3,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,8,0,0,0,5,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,7,9,4,1
72,2814,11,0,1,0,1,5,0,1,0,29,0,0,0,47,1,0,0,0,0,43,261,0,0,0,28,0,0,0,1,1,8,3,12,0,3,1,0,0,1,0,0,0,0,3,0,1,0,0,11,2,0,10,4,0,0,1,0,0,0,0,2,0,0,7,0,0,0,0,0,1,0,0,0,9,10,4,0
76,2917,21,0,1,0,0,3,0,0,0,47,3,0,1,67,1,0,0,0,0,30,268,0,0,0,28,0,0,0,0,0,1,0,7,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,17,2,0,14,3,0,0,1,0,0,1,0,0,0,0,3,0,0,1,0,0,0,1,0,0,3,25,5,3
80,3020,20,0,1,2,0,0,0,1,0,33,0,1,1,67,0,0,0,0,0,49,241,0,0,0,31,0,0,0,0,0,2,0,9,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,8,0,0,14,4,0,1,2,0,0,1,0,0,0,0,7,0,0,0,0,0,0,2,0,0,6,41,16,2
84,3123,32,0,2,1,0,4,0,1,0,28,0,0,4,86,1,0,0,0,0,19,220,0,0,0,32,0,0,1,0,0,6,0,8,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,14,0,0,17,3,0,0,3,0,0,1,0,0,0,2,8,0,1,0,0,0,0,0,0,0,13,37,5,3
88,3226,23,0,1,1,0,2,0,1,0,55,0,0,0,59,1,2,0,0,0,20,234,0,0,0,37,0,0,1,0,0,1,0,12,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1,14,1,0,17,1,0,2,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,8,40,14,1
92,3329,14,0,1,0,0,2,0,3,0,55,0,0,1,68,1,0,1,0,0,22,230,0,0,0,38,0,1,1,0,1,0,0,10,0,1,0,0,0,6,0,2,0,1,0,0,0,0,0,7,1,0,23,2,0,0,2,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,16,26,12,3
96,3432,25,0,0,0,0,1,0,2,0,50,0,0,3,87,1,2,0,0,0,31,251,0,0,0,52,0,0,0,1,0,4,1,5,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,9,4,0,12,3,0,2,2,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,8,22,24,6
100,3588,18,0,1,1,0,2,0,3,0,68,0,0,2,77,1,0,0,0,0,25,269,0,0,0,15,0,0,1,1,0,5,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,2,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,21,17,60,0
104,3752,22,0,2,0,0,3,0,0,0,51,1,1,1,76,0,0,0,0,0,12,286,0,0,0,8,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,1,0,5,0,0,0,2,1,0,0,0,1,0,0,15,1,0,0,0,0,2,0,0,0,21,29,20,0
108,3916,19,0,0,0,0,1,0,2,0,54,1,0,4,80,1,0,0,0,0,11,251,0,0,0,21,0,0,0,0,0,4,0,9,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,10,1,0,5,2,0,1,3,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,26,26,10,3
112,4080,21,0,0,0,0,0,0,2,0,75,0,1,3,65,0,1,0,0,0,11,262,0,0,0,21,0,0,0,0,0,0,0,4,0,0,1,0,0,6,0,0,0,0,1,0,0,1,0,6,2,0,6,1,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,21,17,14,3
116,4244,24,0,0,0,0,0,0,1,1,54,4,1,0,79,0,0,0,0,0,11,261,0,0,0,17,0,0,0,0,1,4,0,4,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,9,2,0,1,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,21,26,22,0
120,4408,26,0,0,0,0,1,0,3,0,64,3,1,1,95,0,1,0,0,0,9,227,0,0,0,25,0,0,0,0,2,0,1,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,3,1,0,13,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,42,32,28,0
124,4572,17,0,3,0,0,2,0,2,0,82,2,1,1,76,0,1,0,0,0,15,221,0,0,0,34,0,0,1,0,1,1,2,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,4,0,0,6,3,0,0,1,0,0,0,0,0,0,0,21,2,0,0,0,1,0,0,0,0,35,20,32,0
