depth,age.cal.BP,Acer,Alnus,Betula,Carpinus,Corylus,Fagus,Fraxinus,Pinus,Quercus,Salix,Tilia,Ulmus,Juglans,Juniperus,Hedera helix,Ilex aquifolium,Ulex,Ericaceae,Calluna vulgaris,Poaceae,Asteraceae,Artemisia type,Brassica,Campanula type,Centaurea cyanus,Centaurea nigra,Centaurea scabiosa,Chenopodiaceae,Cyperaceae,Drosera rotundifolia,Filipendula,Galium,Hordeum,Hypericum,Lactuceae,Lonicera,Malva type,Menyanthes,Myrica gale,Plantago lanceolata,Polygala,Potentilla type,Ranunculus acris type,Rhinanthus,Rosaceae,Rumex acetosa,Sambucus,Scrophularia,Secale cereale,Stachys,Succisa pratensis,Trifolium,Urtica dioica,Elodea,Typha,Polypodium,Pteridium,Pteropsida,Sphagnum
132.5,2517,0,37,9,0,137,3,1,0,37,0,0,1,0,0,0,0,0,1,21,16,0,1,0,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
136.5,2611,0,35,4,0,142,0,5,0,45,0,0,0,0,0,0,0,0,1,17,10,0,0,0,0,0,0,0,0,41,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0
140.5,2708,0,38,12,0,137,2,0,2,42,0,0,5,0,0,1,0,0,0,38,15,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0
144.5,2809,0,40,7,0,69,1,2,0,47,2,0,0,0,0,0,0,0,0,12,83,0,1,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,5,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0
148.5,2914,0,47,13,0,102,1,1,0,48,0,0,1,0,0,0,0,0,0,30,34,0,0,0,0,0,0,0,1,21,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,3,3
152.5,3022,0,43,5,0,69,0,1,0,55,2,0,0,0,0,2,0,0,0,17,15,0,1,0,0,0,0,0,0,84,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
156.5,3133,0,31,2,0,66,0,1,0,32,0,0,0,0,0,0,0,0,0,106,30,0,0,0,0,0,0,0,1,25,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15,0,0
160.5,3246,0,26,6,0,43,0,3,1,17,0,0,1,0,0,0,0,0,0,118,47,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0
164.5,3360,0,24,4,0,76,1,2,1,36,0,1,0,0,0,1,0,0,0,102,20,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
168.5,3474,0,36,2,0,153,1,3,1,37,0,3,1,0,0,0,0,0,0,18,13,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,1
172.5,3589,0,40,3,0,119,1,1,0,58,0,0,0,0,0,1,0,0,0,53,5,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
176.5,3701,0,46,3,0,143,0,2,3,33,0,1,4,0,0,0,0,0,0,38,15,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
180.5,3812,0,35,13,1,106,0,0,0,62,0,0,1,0,0,0,0,0,0,17,11,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0,0
184.5,3920,0,40,1,0,136,0,0,2,30,0,0,1,0,0,2,0,0,0,22,8,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,4,0
188.5,4023,0,28,7,0,149,0,0,0,47,0,1,3,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192.5,4123,0,28,7,0,128,0,1,1,34,0,2,3,0,0,0,0,0,0,21,8,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
196.5,4217,0,23,3,0,148,0,2,1,41,0,1,2,0,0,1,0,0,1,46,6,0,0,0,0,0,0,0,0,29,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6
200.5,4304,0,14,5,0,152,0,3,1,52,0,2,1,0,0,0,0,0,0,22,10,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
204.5,4385,0,36,5,0,142,0,2,0,57,0,2,4,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
208.5,4460,0,35,3,0,133,0,1,1,45,0,0,3,0,0,1,0,0,0,9,9,0,1,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1
212.5,4528,0,24,3,0,136,0,1,1,54,0,1,7,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
216.5,4592,0,28,5,0,105,0,3,3,60,0,1,2,0,0,0,0,0,0,25,6,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
224.5,4704,0,33,8,0,110,0,1,2,35,0,1,3,0,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,76,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
232.5,4802,0,20,1,0,115,0,0,0,53,0,1,0,0,0,0,0,0,0,21,5,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240.5,4888,0,31,7,0,133,0,1,2,36,0,0,4,0,0,0,0,0,0,28,16,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
