depth,age.cal.bp,Acer,Alnus,Betula,Carpinus,Corylus,Fagus,Fraxinus,Pinus,Quercus,Salix,Tilia,Ulmus,Juglans,Juniperus,cf Larix type,Hedera helix,Ilex aquifolium,Ulex,Ericaceae,Calluna vulgaris,Poaceae,Asteraceae,Artemisia type,Avena/Triticum,Brassica,Campanula type,Centaurea cyanus,Centaurea nigra,Centaurea scabiosa,Chenopodiaceae,Cirsium,Cyperaceae,Drosera intermedia,Drosera rotundifolia,Filipendula,Galium,Hordeum,Hypericum,Lactuceae,Lysimachia,Malva type,Menyanthes,Myrica gale,Plantago lanceolata,Polygala,Potentilla type,Ranunculus acris type,Rhinanthus,Rosaceae,Rumex acetosa,Rumex acetosella,Sambucus,Secale cereale,Sorbus,Succisa pratensis,Trifolium,Trofolium repens,Urtica dioica,Elodea,Typha,Polypodium,Pteridium,Pteropsida,Sphagnum
272.5,2896,0,20,4,0,81,1,1,1,32,0,0,1,0,0,0,1,0,0,0,39,6,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
280.5,2944,0,51,7,0,89,3,0,0,53,0,0,2,0,0,0,0,0,0,0,16,18,0,2,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,1
288.5,3000,0,33,8,0,45,1,1,4,50,0,0,0,0,0,0,0,0,0,0,27,13,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1
296.5,3067,0,40,8,0,92,4,2,2,72,2,0,0,0,0,0,0,0,0,0,36,21,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,1
304.5,3151,0,22,3,0,42,0,1,2,30,0,0,0,0,0,1,0,0,0,0,23,8,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4
312.5,3251,0,21,2,0,83,0,0,5,37,0,0,2,0,0,0,2,0,0,1,99,11,0,0,0,0,0,0,0,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,10
320.5,3363,0,17,2,1,50,1,1,2,30,0,1,0,0,0,0,0,0,0,0,28,5,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,3
328.5,3479,0,52,4,0,130,0,1,1,39,0,0,1,0,0,0,0,0,0,3,55,6,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,5
336.5,3596,0,22,7,0,125,0,2,3,26,1,1,2,0,0,2,0,0,0,1,35,8,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,7
344.5,3707,0,25,6,0,118,0,2,0,77,0,0,2,0,0,0,1,0,0,2,54,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,6,0,2
352.5,3808,0,26,4,0,71,0,10,2,54,0,1,0,0,0,2,0,0,0,1,16,6,0,1,0,1,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,7,0,84
360.5,3895,0,53,14,1,131,0,3,1,50,0,1,1,0,0,0,0,0,0,0,21,12,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,2
368.5,3970,0,24,4,0,98,1,4,0,49,0,1,2,0,0,0,1,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,5,4,0,79
376.5,4037,0,45,5,0,143,0,1,0,63,0,0,2,0,0,0,0,0,0,1,21,16,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,3
384.5,4098,0,26,22,0,142,0,0,1,35,0,0,1,0,0,0,1,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0
392.5,4156,1,38,8,0,184,0,1,1,43,0,2,3,0,0,0,1,0,0,0,22,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2
400.5,4214,0,17,15,0,111,0,0,0,60,1,1,5,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3
408.5,4274,0,39,3,0,140,0,2,1,57,0,5,5,0,0,0,0,0,0,1,9,11,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,3
416.5,4339,0,25,10,0,111,0,5,0,36,0,1,3,0,0,0,1,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,9,0,1
424.5,4412,0,51,4,0,124,0,1,0,70,0,0,5,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4
432.5,4495,0,28,17,0,120,0,1,3,42,0,1,4,1,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,1,11
