depth,age.cal.BP,Alnus glutinosa  ,Acer t.,Betula  ,Carpinus betulus ,Fagus sylvatica ,Fraxinus excelsior ,Pinus  ,Quercus  ,Sorbus t. ,Tilia  ,Ulmus  ,Corylus avellana t.,Crataegus t.,Salix  ,Cornus suecica,Hedera helix ,Ilex aquifolium ,Lonicera periclymenum ,Ericaceae  ,Calluna vulgaris ,Poaceae <37um ,Hordeum t. ,Avena/Triticum t. ,Secale cereale ,Cyperaceae  ,Anagallis tenella,Anthemis  ,Apiaceae  ,Armeria maritima t.A,Artemisia  ,Asteraceae  ,Brassicaceae  ,Campanula t.,Cardueae  ,Caryophyllaceae undiff. ,Centaurea nigra ,Chenopodiaceae,Corydalis lutea ,Epilobium  ,Equisetum  ,Euphorbia t. ,Fagopyrum  ,Filipendula  ,Galium  ,Gentianella campestris t.,Geranium  ,Helianthemum,Humulus lupulus,Hypericum elodes,Hypericum perforatum t.,Lactuceae  ,Lamiaceae undiff. ,Leguminoseae undiff. ,Lotus  ,Lysimachia vulgaris,Medicago sativa,Mentha t.,Menyanthes trifoliata ,Montia fontana ,Myosotis  ,Narthecium  ,Plantago lanceolata ,Plantago major/minor ,Polygala  ,Polygonum aviculare ,Potentilla  ,Ranunculus t. ,Rosa undiff. ,Rhinanthus  ,Rumex acetosa ,Rumex obtusifolius ,Scrophularia t. ,Scutellaria,Stachys t. ,Succisa pratensis ,Trifolium,Urtica dioica ,Valerianella,Verbascum t.,Vicia sylvatica ,Viola palustris ,Potamogeton  ,Huperzia selago,Hymenophyllum  ,Osmunda  ,Polypodium  ,Pteridium  ,Pteropsida (monolete) undiff.,Sphagnum  ,,
20.0 ,1071,4.0 ,0.0 ,2.0 ,2.0 ,7.0 ,1.0 ,0.0 ,30.0 ,0.0 ,0.0 ,0.0 ,14.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,45.0 ,230.0 ,0.0 ,1.0 ,0.0 ,51.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,24.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,8.0 ,0.0 ,1.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,68.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,9.0 ,5.0 ,7.0 ,5.0 ,,
22.0 ,1179,4.0 ,0.0 ,4.0 ,1.0 ,2.0 ,2.0 ,2.0 ,33.0 ,0.0 ,0.0 ,2.0 ,57.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,21.0 ,232.0 ,0.0 ,0.0 ,0.0 ,82.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,7.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,12.0 ,0.0 ,0.0 ,0.0 ,8.0 ,5.0 ,0.0 ,0.0 ,4.0 ,0.0 ,0.0 ,0.0 ,0.0 ,19.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,7.0 ,12.0 ,2.0 ,10.0 ,,
24.0 ,1286,1.0 ,0.0 ,4.0 ,3.0 ,9.0 ,1.0 ,2.0 ,75.0 ,0.0 ,0.0 ,3.0 ,13.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,33.0 ,125.0 ,0.0 ,1.0 ,0.0 ,102.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,2.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,35.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,3.0 ,0.0 ,2.0 ,0.0 ,2.0 ,2.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,71.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,27.0 ,9.0 ,6.0 ,4.0 ,,
26.0 ,1383,13.0 ,0.0 ,11.0 ,0.0 ,3.0 ,1.0 ,1.0 ,98.0 ,2.0 ,0.0 ,3.0 ,93.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,6.0 ,145.0 ,1.0 ,0.0 ,0.0 ,66.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,1.0 ,0.0 ,0.0 ,1.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,5.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,7.0 ,0.0 ,0.0 ,0.0 ,5.0 ,2.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,28.0 ,0.0 ,0.0 ,0.0 ,0.0 ,4.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,11.0 ,3.0 ,6.0 ,11.0 ,,
28.0 ,1475,0.0 ,2.0 ,4.0 ,0.0 ,9.0 ,0.0 ,0.0 ,90.0 ,0.0 ,0.0 ,7.0 ,32.0 ,0.0 ,0.0 ,0.0 ,1.0 ,1.0 ,0.0 ,2.0 ,17.0 ,129.0 ,0.0 ,0.0 ,0.0 ,85.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,29.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,11.0 ,0.0 ,3.0 ,0.0 ,1.0 ,0.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,68.0 ,0.0 ,0.0 ,0.0 ,0.0 ,10.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,27.0 ,7.0 ,5.0 ,3.0 ,,
30.0 ,1566,7.0 ,0.0 ,1.0 ,1.0 ,7.0 ,0.0 ,0.0 ,55.0 ,1.0 ,0.0 ,3.0 ,39.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,23.0 ,160.0 ,1.0 ,0.0 ,0.0 ,120.0 ,0.0 ,1.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,9.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,9.0 ,0.0 ,1.0 ,0.0 ,6.0 ,5.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,48.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,12.0 ,15.0 ,8.0 ,14.0 ,,
32.0 ,1658,1.0 ,1.0 ,4.0 ,0.0 ,8.0 ,0.0 ,2.0 ,81.0 ,0.0 ,0.0 ,0.0 ,17.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,14.0 ,119.0 ,0.0 ,1.0 ,0.0 ,127.0 ,0.0 ,2.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,5.0 ,0.0 ,2.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,43.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,7.0 ,0.0 ,3.0 ,0.0 ,2.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,57.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,15.0 ,10.0 ,8.0 ,5.0 ,,
34.0 ,1749,4.0 ,0.0 ,2.0 ,1.0 ,10.0 ,1.0 ,9.0 ,101.0 ,0.0 ,0.0 ,2.0 ,49.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,21.0 ,112.0 ,0.0 ,1.0 ,0.0 ,62.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,1.0 ,2.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,21.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,3.0 ,0.0 ,0.0 ,0.0 ,4.0 ,3.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,86.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,21.0 ,29.0 ,1.0 ,17.0 ,,
36.0 ,1841,4.0 ,0.0 ,1.0 ,0.0 ,6.0 ,1.0 ,1.0 ,103.0 ,2.0 ,0.0 ,4.0 ,25.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,94.0 ,43.0 ,2.0 ,1.0 ,0.0 ,107.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,23.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,2.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,73.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,37.0 ,23.0 ,2.0 ,33.0 ,,
38.0 ,1932,15.0 ,1.0 ,8.0 ,0.0 ,3.0 ,1.0 ,1.0 ,73.0 ,1.0 ,1.0 ,3.0 ,95.0 ,0.0 ,1.0 ,0.0 ,1.0 ,0.0 ,0.0 ,0.0 ,17.0 ,196.0 ,1.0 ,0.0 ,0.0 ,16.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,1.0 ,0.0 ,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,12.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,9.0 ,0.0 ,0.0 ,0.0 ,6.0 ,4.0 ,0.0 ,1.0 ,1.0 ,0.0 ,0.0 ,0.0 ,0.0 ,27.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2.0 ,11.0 ,1.0 ,19.0 ,,
