depth,age.cal.BP,Alnus,Anagallis tenella-type,Apiaceae,Asteraceae,Asteraceae subf. Carduoideae,Asteraceae subf. Cichorioideae,Betula,Brassicaceae,Calluna vulgaris,Caryophyllaceae (periporate excl. Paronychioideae),Centaurea nigra-type,Chenopodiaceae/Amaranthaceae,Corylus,Crassulaceae,Crataegus,Cyperaceae,Drosera intermedia,Empetrum nigrum,Equisetum,Ericales (tetrad),Filipendula,Fraxinus,Gentianella campestris-type,Hedera,Humulus/Cannabis,Hypericum,Lamiaceae,Lonicera periclymenum,Lotus-type,Melampyrum,Monolete fern spores,Myosotis-type,Osmunda regalis,Pinus,Plantago lanceolata-type,Poaceae,Polypodium,Potamogeton-type,Potentilla-type,Pteridium aquilinum,Quercus,Ranunculus acris-type,Rhinanthus-type,Rosaceae,Rubiaceae,Rumex acetosa-type,Salix,Scabiosa,Scrophularia-type,Sorbus-type,Sphagnum,Succisa-type,Tilia,Ulmus/Zelkova,Valeriana officinalis-type,Veronica-type
57.5,4683,13,0,1,0,1,0,9,0,8,0,0,0,89,0,0,17,0,0,0,1,0,3,0,0,0,0,0,0,0,0,66,0,1,1,0,102,1,0,9,5,41,2,0,0,0,3,4,0,0,0,19,2,0,2,1,0
58.5,4772,18,0,1,0,0,0,8,0,8,0,1,0,99,0,0,17,0,0,0,1,0,2,0,0,0,0,0,0,0,0,111,0,3,0,0,99,2,0,10,2,33,0,0,0,0,1,2,0,0,0,13,3,1,1,0,0
59.5,4861,3,0,2,0,1,0,7,0,3,0,0,0,90,0,0,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,192,0,0,2,0,130,4,0,6,8,30,3,0,0,0,0,0,0,0,0,10,4,0,3,0,0
60.5,4950,10,0,1,0,0,0,16,0,4,0,0,0,93,0,0,11,0,0,0,0,2,1,0,0,0,0,0,0,0,0,137,0,1,4,1,107,4,0,16,8,31,2,0,0,0,2,0,0,0,1,21,1,1,1,0,0
61.5,5039,7,0,1,0,1,0,10,1,3,0,0,0,87,0,0,24,0,0,0,0,1,1,0,1,0,0,0,0,1,0,131,0,1,1,0,118,4,0,10,10,36,3,0,0,0,0,0,0,0,0,14,4,0,5,0,0
62.5,5128,15,0,2,0,0,1,9,0,4,0,0,0,96,0,1,20,0,0,0,0,2,2,0,0,0,0,0,0,0,0,134,0,0,2,0,117,12,0,11,4,42,0,0,0,0,0,0,0,0,0,20,4,0,6,0,0
63.5,5216,20,0,1,0,0,0,16,0,6,0,0,1,102,0,0,23,0,0,0,1,2,1,0,0,0,0,2,1,1,0,84,0,0,2,0,95,4,0,12,8,30,0,0,0,0,0,0,0,0,0,5,3,1,2,0,0
64.5,5304,14,0,2,0,0,0,41,0,2,0,0,0,162,0,0,7,0,0,0,0,2,1,0,0,0,0,0,1,0,5,34,0,0,2,0,14,1,0,11,0,29,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0
73.5,6065,9,0,4,0,0,0,22,1,0,0,0,0,133,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,144,0,0,7,1,11,5,0,7,38,65,1,1,1,2,0,3,0,1,1,38,1,3,10,1,0
80.5,6595,11,0,4,0,0,0,40,0,1,0,0,2,143,0,0,6,0,0,0,0,2,1,0,0,0,0,1,0,0,1,134,0,0,3,0,14,6,1,1,1,60,0,0,1,0,0,0,0,0,0,34,0,1,8,0,0
88.5,7102,7,0,9,0,0,0,19,1,0,0,0,0,150,0,1,11,0,0,0,1,1,0,0,0,0,0,1,0,1,0,192,0,0,7,0,10,6,1,4,8,56,1,0,0,0,0,5,0,0,0,13,0,0,2,1,0
96.5,7506,7,0,2,1,0,1,14,0,0,0,0,0,162,0,0,18,0,0,1,2,3,4,1,0,0,0,1,0,0,0,198,0,0,5,0,18,10,0,1,9,51,0,0,0,0,1,2,0,0,0,12,0,0,6,0,0
104.5,7813,1,0,4,0,0,0,21,1,0,0,0,0,125,0,0,27,0,0,1,8,19,2,1,0,0,1,0,0,1,0,320,0,0,7,0,35,5,1,3,3,26,0,1,1,0,0,20,0,0,0,67,0,0,7,0,0
112.5,8033,1,0,1,1,0,0,13,0,0,0,0,3,106,1,0,45,0,0,0,0,15,1,0,0,0,0,2,0,0,0,513,0,0,10,0,33,8,0,0,4,40,2,0,1,1,0,13,0,0,0,0,0,0,11,0,0
120.5,8195,1,5,0,0,0,0,21,0,0,0,0,1,120,0,1,43,0,0,3,0,11,0,0,0,1,0,2,0,0,1,235,0,0,9,0,37,0,1,0,0,24,1,0,1,0,0,11,0,0,1,50,0,1,9,1,0
128.5,8336,5,7,2,0,1,0,24,0,1,0,0,0,111,1,0,32,0,4,0,5,6,0,1,0,0,2,0,0,2,2,188,0,0,8,0,39,2,0,2,0,28,3,0,0,1,3,14,2,3,2,39,1,0,4,2,0
